Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
32,1.62,0.06674253336254822,0.2284335196018219,1,0.9942366712088178,0.005763328791182278,0.9,"{'max_vel_trans': 0.3286913732292559, 'cost_scaling_factor': 4.427906992592541, 'inflation_radius': 0.9909309396056196, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.083576350776251, 'vth_samples': 23, 'min_vel_theta': 0.5038476272616865, 'min_vel_x': -0.16077319115528604, 'occdist_scale': 0.01, 'conservative_reset_dist': 2.3586164472019986, 'min_vel_trans': 0.0967564389306772, 'controller_frequency': 15.0}"
33,1.56,0.0717362300501593,0.119999997317791,1,0.9856319208531181,0.01436807914688188,0.9,"{'max_vel_trans': 0.3423051299373939, 'cost_scaling_factor': 12.64362491066948, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.3516200087853028, 'vth_samples': 35, 'min_vel_theta': 0.5, 'min_vel_x': -0.22683972710498723, 'occdist_scale': 0.01, 'conservative_reset_dist': 1.5691807307310217, 'min_vel_trans': 0.1036405925185499, 'controller_frequency': 15.0}"
34,1.74,0.06113033864528039,0.2877348661422729,1,1.0,0.0,0.89,"{'max_vel_trans': 0.3893718487066185, 'cost_scaling_factor': 11.329344512885918, 'inflation_radius': 0.5411976732914147, 'max_scaling_factor': 0.1, 'max_vel_theta': 3.080709644905153, 'vth_samples': 25, 'min_vel_theta': 0.5940538822308474, 'min_vel_x': -0.21127955766363365, 'occdist_scale': 0.01, 'conservative_reset_dist': 2.2460282471685273, 'min_vel_trans': 0.08613298772380305, 'controller_frequency': 13.942606101785884}"
35,1.84,0.04004192046776014,0.119999997317791,1,0.9630887335927171,0.036911266407282914,0.9,"{'max_vel_trans': 0.33921745996611063, 'cost_scaling_factor': 13.974125887570322, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.0045661980609903, 'vth_samples': 20, 'min_vel_theta': 0.5432434092619959, 'min_vel_x': -0.22486967520780116, 'occdist_scale': 0.012195321257685039, 'conservative_reset_dist': 2.3241561737355307, 'min_vel_trans': 0.14388520196481752, 'controller_frequency': 14.131334493955334}"
36,1.6,0.02520592494167204,0.1704379767179489,1,0.9863804683068172,0.01361953169318272,0.91,"{'max_vel_trans': 0.31191823212176495, 'cost_scaling_factor': 6.3410390546435496, 'inflation_radius': 0.6396592578050133, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.2585998597501185, 'vth_samples': 20, 'min_vel_theta': 0.7780842167824372, 'min_vel_x': -0.1270549679422521, 'occdist_scale': 0.02544166949934745, 'conservative_reset_dist': 3.675666006329047, 'min_vel_trans': 0.08, 'controller_frequency': 15.0}"
37,1.63,0.061463841509011075,0.29909592866897583,1,1.0,0.0,0.9,"{'max_vel_trans': 0.2937643771470184, 'cost_scaling_factor': 4.619248513408139, 'inflation_radius': 0.9987833758362099, 'max_scaling_factor': 0.11434025284002822, 'max_vel_theta': 2.0485669843650207, 'vth_samples': 22, 'min_vel_theta': 0.5037428726949966, 'min_vel_x': -0.11365466321876153, 'occdist_scale': 0.018230432209908644, 'conservative_reset_dist': 3.7752158507636775, 'min_vel_trans': 0.09099181718047074, 'controller_frequency': 13.808332000260492}"
38,1.42,0.08282717394071656,0.119999997317791,1,0.978853389428269,0.021146610571731003,0.9,"{'max_vel_trans': 0.3219734575363409, 'cost_scaling_factor': 10.101807583951558, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.708413970211748, 'vth_samples': 20, 'min_vel_theta': 1.341227256697123, 'min_vel_x': -0.2070486965730307, 'occdist_scale': 0.03138025745280179, 'conservative_reset_dist': 1.3401323782905834, 'min_vel_trans': 0.10394703677245087, 'controller_frequency': 15.0}"
39,1.45,0.0448947616340143,0.5443477630615234,1,1.0,0.0,0.91,"{'max_vel_trans': 0.3031532285946321, 'cost_scaling_factor': 13.983002743221258, 'inflation_radius': 0.31362137465929796, 'max_scaling_factor': 0.1701293226297626, 'max_vel_theta': 3.414204120009627, 'vth_samples': 45, 'min_vel_theta': 1.038361928260219, 'min_vel_x': -0.03936933749407573, 'occdist_scale': 0.09740279281892682, 'conservative_reset_dist': 1.0492491156120574, 'min_vel_trans': 0.1452937683198621, 'controller_frequency': 11.235322095083635}"
40,1.53,0.0586819968088319,0.5244899392127991,1,1.0,0.0,0.91,"{'max_vel_trans': 0.21700135856446595, 'cost_scaling_factor': 10.586938037643128, 'inflation_radius': 0.3870517398972017, 'max_scaling_factor': 0.14227658432304033, 'max_vel_theta': 2.9941290535762244, 'vth_samples': 40, 'min_vel_theta': 1.1074172626910976, 'min_vel_x': -0.04127936533248422, 'occdist_scale': 0.08893356198719046, 'conservative_reset_dist': 1.5495524993168204, 'min_vel_trans': 0.15332134198074765, 'controller_frequency': 11.674863058916026}"
41,1.47,0.04809394648334918,0.119999997317791,1,0.9844364239952809,0.015563576004719144,0.91,"{'max_vel_trans': 0.33505849381475694, 'cost_scaling_factor': 12.805516777298386, 'inflation_radius': 0.688638422508226, 'max_scaling_factor': 0.16447192150148252, 'max_vel_theta': 3.1928861963409996, 'vth_samples': 42, 'min_vel_theta': 1.0410035697999136, 'min_vel_x': -0.042843798686804546, 'occdist_scale': 0.07370329063519375, 'conservative_reset_dist': 1.98512891800011, 'min_vel_trans': 0.1349876389509831, 'controller_frequency': 11.348262395563104}"
42,1.41,0.043331221998497635,0.5571331381797789,1,1.0,0.0,0.92,"{'max_vel_trans': 0.3729607054058508, 'cost_scaling_factor': 11.942532393093213, 'inflation_radius': 0.7923896834844184, 'max_scaling_factor': 0.19232953067718317, 'max_vel_theta': 3.559112839329741, 'vth_samples': 45, 'min_vel_theta': 1.126674023514791, 'min_vel_x': -0.05958791358478471, 'occdist_scale': 0.0466418365070956, 'conservative_reset_dist': 1.0, 'min_vel_trans': 0.11211532917557264, 'controller_frequency': 10.082169044792298}"
43,1.43,0.06249681758522538,0.1270977407693863,1,0.9864002500016692,0.01359974999833083,0.91,"{'max_vel_trans': 0.38084222492395003, 'cost_scaling_factor': 10.748018003664683, 'inflation_radius': 1.0990656983632834, 'max_scaling_factor': 0.2118088867115719, 'max_vel_theta': 3.408580619324413, 'vth_samples': 44, 'min_vel_theta': 1.1595480103491664, 'min_vel_x': -0.06297827829324226, 'occdist_scale': 0.03049808516171678, 'conservative_reset_dist': 1.6216330480681587, 'min_vel_trans': 0.110445183772657, 'controller_frequency': 10.212233405817495}"
44,1.42,0.057456829498591315,0.5297959446907043,1,1.0,0.0,0.91,"{'max_vel_trans': 0.3340184940450903, 'cost_scaling_factor': 15.925981989100888, 'inflation_radius': 0.90011373070784, 'max_scaling_factor': 0.23018841595363437, 'max_vel_theta': 3.4931145715609646, 'vth_samples': 45, 'min_vel_theta': 1.216547269125016, 'min_vel_x': -0.057438320500279416, 'occdist_scale': 0.05454708510764709, 'conservative_reset_dist': 1.0, 'min_vel_trans': 0.12228513567764272, 'controller_frequency': 9.84304682876419}"
45,1.47,0.026267578449137047,0.14294911921024325,1,0.9796073001632958,0.020392699836704168,0.92,"{'max_vel_trans': 0.4, 'cost_scaling_factor': 11.204667229974842, 'inflation_radius': 0.8053993131906252, 'max_scaling_factor': 0.24619458852608783, 'max_vel_theta': 3.4955578893765553, 'vth_samples': 44, 'min_vel_theta': 1.2144580429021987, 'min_vel_x': -0.059276224766395436, 'occdist_scale': 0.06310687501162249, 'conservative_reset_dist': 1.0, 'min_vel_trans': 0.11475121002328914, 'controller_frequency': 9.95245771055378}"
46,1.41,0.055368943250881784,0.4751804172992706,1,1.0,0.0,0.91,"{'max_vel_trans': 0.33616526334435237, 'cost_scaling_factor': 10.971325475325399, 'inflation_radius': 0.7338637777083209, 'max_scaling_factor': 0.24938833246310882, 'max_vel_theta': 3.5511431683310777, 'vth_samples': 45, 'min_vel_theta': 1.1681537972100902, 'min_vel_x': -0.06539529302767078, 'occdist_scale': 0.03217601325948156, 'conservative_reset_dist': 1.0, 'min_vel_trans': 0.108040488253838, 'controller_frequency': 10.092692142491192}"
47,1.41,0.05764991300513402,0.13792139291763306,1,0.9895481953641989,0.010451804635801077,0.91,"{'max_vel_trans': 0.4, 'cost_scaling_factor': 14.253587842882833, 'inflation_radius': 1.0381036080223882, 'max_scaling_factor': 0.2600613407118021, 'max_vel_theta': 3.694112624210969, 'vth_samples': 45, 'min_vel_theta': 1.1830966621730312, 'min_vel_x': -0.07615370490419354, 'occdist_scale': 0.03259286254907849, 'conservative_reset_dist': 1.0, 'min_vel_trans': 0.09554681808057296, 'controller_frequency': 9.660204283922681}"
48,1.4,0.06790962301463176,0.1200949028134346,1,0.9855221796784395,0.014477820321560498,0.91,"{'max_vel_trans': 0.3865439680884867, 'cost_scaling_factor': 10.429086285037867, 'inflation_radius': 1.201913810196732, 'max_scaling_factor': 0.2663948436209671, 'max_vel_theta': 3.7058916546114102, 'vth_samples': 45, 'min_vel_theta': 1.1456457345191842, 'min_vel_x': -0.06674129764910885, 'occdist_scale': 0.02824793026555472, 'conservative_reset_dist': 1.0, 'min_vel_trans': 0.13073603790279392, 'controller_frequency': 9.486805064607886}"
49,3.0,0.033318383948815186,0.12111567705869675,1,0.9895529432898666,0.010447056710133323,0.84,"{'max_vel_trans': 0.2887445671888106, 'cost_scaling_factor': 20.0, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1547640884471448, 'max_vel_theta': 3.4656958770441824, 'vth_samples': 45, 'min_vel_theta': 1.2900465667010184, 'min_vel_x': -0.057315455606753996, 'occdist_scale': 0.04566627349981442, 'conservative_reset_dist': 1.0, 'min_vel_trans': 0.1539256007132081, 'controller_frequency': 11.172806713521052}"
50,1.63,0.04756237361399608,0.5005356073379517,1,1.0,0.0,0.9,"{'max_vel_trans': 0.34396259000072504, 'cost_scaling_factor': 11.71265182102134, 'inflation_radius': 1.2853853527993653, 'max_scaling_factor': 0.26210007961279447, 'max_vel_theta': 3.512667326134606, 'vth_samples': 45, 'min_vel_theta': 1.1294108490000352, 'min_vel_x': -0.06078125875811635, 'occdist_scale': 0.05588968317924565, 'conservative_reset_dist': 1.3503431310939638, 'min_vel_trans': 0.09357937038010325, 'controller_frequency': 9.758926368932453}"
