controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
6.82,4.86,6.08,1.25,2.2,0.42,3.07,0.58,13.19,0.34,1.06,0.62,0.4,1.79,0.14,-0.14,0.39,0.38,21.55,0.24,0.03,2.14,1,0.11,0.13,25,4,11,1.87,0.13,1.01,2.42,14.37,0.91,70,13,0.138358372599399,32.96,292.06,0.4,192.28,0.4
4,6.83,3.11,4.82,3.82,0.2,1.13,0.4,10.16,0.45,0.87,0.6,0.68,2.92,0.18,-0.13,0.21,0.34,10.38,0.32,0.04,0.57,0.96,0.14,0.1,24,5,4,1.11,0.13,0.33,2.61,12.49,0.99,39,4,0.141761407807617,10.85,78.32,0.78,46.04,0.6
4.55,3.8,6.07,3.62,2.27,0.18,4.15,0.66,32.41,0.41,0.66,0.62,0.39,2.73,0.17,-0.07,0.4,0.11,10.05,0.26,0.02,2.02,0.86,0.09,0.05,17,4,1,3.5,0.07,1.67,4.2,1.77,0.31,0,0,0.208734605294452,14.35,61.21,0.4,44.04,1
6.53,6.9,3.59,1.88,3.47,0.3,2.63,0.55,37.98,0.18,1.55,0.5,0.52,1.95,0.16,-0.18,0.41,0.31,36.09,0.31,0.03,2.28,1.19,0.07,0.12,11,8,5,3.01,0.1,1.89,1.23,7.87,1.35,82,7,0.18300178900801,21.93,142.98,0.4,100.4,0.6
3.35,5.92,4.27,4.98,2.89,0.46,1.52,0.7,17.86,0.34,1.97,0.41,0.46,1.95,0.17,-0.27,0.1,0.15,34.99,0.21,0.02,0.84,0.76,0.11,0.08,14,4,3,3.08,0.13,0.87,2.27,17.01,0.82,77,9,0.143479731977604,10.38,100.65,0.4,48.68,0.2
4.03,3.68,6.43,3.28,4.76,0.14,4.32,0.62,13.74,0.49,0.74,0.51,0.44,2.73,0.16,-0.26,0.46,0.36,11.19,0.29,0.02,3.5,0.24,0.12,0.13,12,10,2,2.09,0.11,1.14,3.95,14.55,0.77,122,13,0.180002973850547,19.59,196.3,1.11,124.44,0.2
5.96,3.59,5.78,4.48,1.53,0.2,4.49,0.59,32.11,0.39,0.78,0.52,0.43,2.02,0.13,-0.03,0.47,0.48,33.6,0.16,0.04,3.34,0.15,0.1,0.05,10,8,1,1.53,0.02,1.59,2.31,11.91,0.62,0,0,0.168934865626105,14.4,62.57,0.64,45.72,1
4.43,5.16,5.95,3.74,3.88,0.3,1.01,0.55,16.16,0.27,0.97,0.34,0.59,2.72,0.1,-0.22,0.09,0.32,39.27,0.2,0.04,3.19,0.91,0.08,0.14,19,5,4,2.74,0.13,1.23,2.19,7.25,1.28,0,1,0.284003318917306,16.87,145.46,0.59,112.36,1
3.11,4.15,3.95,2.63,1.78,0.37,2.17,0.3,11.78,0.2,0.52,0.46,0.65,2.49,0.1,-0.26,0.35,0.45,29.11,0.28,0.04,0.6,0.14,0.09,0.11,26,5,5,3.61,0.09,1.42,3.65,13.26,1.01,5,11,0.158208189832649,32.39,255.78,0.76,184.16,0.2
5.83,6.3,5.73,3.84,1.85,0.27,1.64,0.46,10.5,0.42,1.61,0.54,0.45,2.51,0.18,-0.18,0.43,0.46,13.93,0.23,0.02,2.16,0.72,0.05,0.14,24,3,3,3.54,0.14,1.64,3.27,13.82,1.47,153,9,0.231002200874124,23.87,166.45,0.93,104.52,0.2
